match_id,source,home,draw,away,last_updated
ga-001,betano_world_cup_2026,1.5000,3.8000,6.0000,2026-05-11T04:21:58+00:00
ga-001,betvictor_world_cup_2026,1.5000,3.8000,6.0000,2026-05-11T04:21:58+00:00
ga-001,talksportbet_world_cup_2026,1.5000,3.8000,6.0000,2026-05-11T04:21:58+00:00
ga-001,bet365_world_cup_2026,1.5000,4.0000,5.5000,2026-05-11T06:46:20+00:00
ga-001,bwin_world_cup_2026,1.4700,3.9000,5.5000,2026-05-11T06:46:20+00:00
ga-001,pokerstars_world_cup_2026,1.4400,4.0000,6.5000,2026-05-11T06:48:44+00:00
ga-002,betano_world_cup_2026,2.6000,3.1000,2.6000,2026-05-11T04:21:58+00:00
ga-002,betvictor_world_cup_2026,2.6000,3.1000,2.6000,2026-05-11T04:21:58+00:00
ga-002,talksportbet_world_cup_2026,3.4000,1.9524,3.4000,2026-05-11T04:21:58+00:00
ga-002,bet365_world_cup_2026,2.6000,3.2000,2.5500,2026-05-11T06:46:20+00:00
ga-002,bwin_world_cup_2026,2.6500,3.1000,2.7500,2026-05-11T06:46:20+00:00
ga-002,pokerstars_world_cup_2026,2.5000,3.1000,2.6300,2026-05-11T06:48:44+00:00
gb-007,betano_world_cup_2026,1.7500,3.4000,4.4000,2026-05-11T04:21:58+00:00
gb-007,betvictor_world_cup_2026,1.7500,3.4000,4.4000,2026-05-11T04:21:58+00:00
gb-007,talksportbet_world_cup_2026,2.4500,2.0500,5.0000,2026-05-11T04:21:58+00:00
gb-007,bet365_world_cup_2026,1.8000,3.7500,3.7000,2026-05-11T06:46:20+00:00
gb-007,bwin_world_cup_2026,1.8300,3.5000,4.3300,2026-05-11T06:46:20+00:00
gb-007,pokerstars_world_cup_2026,1.7500,3.4000,4.2000,2026-05-11T06:48:44+00:00
gb-008,betano_world_cup_2026,10.5000,5.2500,1.2222,2026-05-11T04:21:58+00:00
gb-008,betvictor_world_cup_2026,10.5000,5.2500,1.2222,2026-05-11T04:21:58+00:00
gb-008,talksportbet_world_cup_2026,10.5000,5.2500,1.2222,2026-05-11T04:21:58+00:00
gb-008,bet365_world_cup_2026,9.0000,5.2500,1.2695,2026-05-11T06:46:20+00:00
gb-008,bwin_world_cup_2026,8.0000,5.2500,1.2600,2026-05-11T06:46:20+00:00
gb-008,pokerstars_world_cup_2026,10.5000,5.5000,1.2200,2026-05-11T06:48:44+00:00
gc-013,betano_world_cup_2026,1.5500,3.7500,5.5000,2026-05-11T04:21:58+00:00
gc-013,betvictor_world_cup_2026,1.5500,3.7500,5.5000,2026-05-11T04:21:58+00:00
gc-013,talksportbet_world_cup_2026,1.5500,3.7500,5.5000,2026-05-11T04:21:58+00:00
gc-013,bet365_world_cup_2026,1.5495,3.8000,5.2500,2026-05-11T06:46:20+00:00
gc-013,bwin_world_cup_2026,1.5300,3.7000,5.0000,2026-05-11T06:46:20+00:00
gc-013,pokerstars_world_cup_2026,1.5000,4.0000,5.5000,2026-05-11T06:48:44+00:00
gc-014,betano_world_cup_2026,7.0000,4.2000,1.4000,2026-05-11T04:21:58+00:00
gc-014,betvictor_world_cup_2026,7.0000,4.2000,1.4000,2026-05-11T04:21:58+00:00
gc-014,talksportbet_world_cup_2026,7.0000,4.2000,1.4000,2026-05-11T04:21:58+00:00
gc-014,bet365_world_cup_2026,6.0000,4.7500,1.4000,2026-05-11T06:46:20+00:00
gc-014,bwin_world_cup_2026,6.2500,4.5000,1.3700,2026-05-11T06:46:20+00:00
gc-014,pokerstars_world_cup_2026,7.0000,4.6000,1.3300,2026-05-11T06:48:44+00:00
gd-019,betano_world_cup_2026,1.9524,3.3000,3.5000,2026-05-11T04:21:58+00:00
gd-019,betvictor_world_cup_2026,1.9524,3.3000,3.5000,2026-05-11T04:21:58+00:00
gd-019,talksportbet_world_cup_2026,1.9500,3.3000,3.6000,2026-05-11T04:21:58+00:00
gd-019,bet365_world_cup_2026,2.0000,3.4000,3.4000,2026-05-11T06:46:20+00:00
gd-019,bwin_world_cup_2026,1.9000,3.2500,3.4000,2026-05-11T06:46:20+00:00
gd-019,pokerstars_world_cup_2026,2.0000,3.3000,3.4000,2026-05-11T06:48:44+00:00
gd-020,betano_world_cup_2026,4.5000,3.4000,1.7273,2026-05-11T04:21:58+00:00
